"Informazioni cronologiche","What is your gender?","How old are you?","Where are you from?","Which ethnic group do you identify with?","What is your religion?","Have you ever experienced any form of racism?","Do you consider yourself a feminist?","What do you think about gender inequality?","Do you think that the veil that most Muslim women wear is a symbol of submission?","Do you think that the veil that Catholic nuns wear is a symbol of submission?","Could you briefly explain your answer to the previous two questions? ","Some modern feminist movements use nudity to protest against patriarchy and to show the independence of women.  What is your opinion about it?","Do you think that feminism has ever been used or could be used by Western powers as a justification for their nationalistic, imperialistic and economic purposes?","Are you familiar with the terms ""White feminism"" and ""Transnational feminism""?","Do you feel represented by today's feminism? "
"2020/05/23 10:39:39 PM EET","Male","18-29","Jordan","Arab","Muslim","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It actually depends on the level of following the religion instructions and level of it","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No","No"
"2020/05/23 10:40:07 PM EET","Female","18-29","Colombia","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","Its about their beliefs ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","Partially"
"2020/05/23 10:41:11 PM EET","Female","18-29","Germany","Black","Roman Catholic","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I think both CAN be used/seen as symbols of submission, but dont necessarily. Depends on the womans decision.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially yes, but I feel like some of the struggles I face because of my ethnicity are not taken into consideration"
"2020/05/23 10:45:41 PM EET","Male","30-49","Germany","White","Roman Catholic","No","Yes","I don't know","Yes","Yes","","I don't know","No, I don't see how this could happen","No","No"
"2020/05/23 10:46:37 PM EET","Female","18-29","Colombia","White","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","No ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No","No"
"2020/05/23 10:50:12 PM EET","Male","18-29","China","Asian","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I know some Muslim cover their head because they also have different religions ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/23 10:53:29 PM EET","Male","18-29","Turkey","White","Muslim","Yes","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","How to live the religion","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","No",""
"2020/05/23 10:55:24 PM EET","Male","18-29","Finland","White","Christian (Protestant)","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","No","No","Everybody is free to get their own voice through. If the surroundings make you scared to do that, then do what you must but if you are free to break from the mold, then do it. Just listen to your heart, it's the only truth.","I don't know","Yes","No",""
"2020/05/23 11:00:18 PM EET","Prefer not to say","18-29","Russia","Prefer not to say","Jewish","Yes","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","Yes","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","Yes, I know exactly what they are",""
"2020/05/23 11:02:44 PM EET","Female","30-49","Colombia","Latino","Roman Catholic","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","Creo que cada persona usa algo de acuerdo a sus propias convicciones, si para una musulmana es digno usar su hi jab, burka u otra prenda estará bien, mientras no lo haga por obligación ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","No"
"2020/05/23 11:03:47 PM EET","Female","18-29","Colombia","White","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","No ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No","No"
"2020/05/23 11:04:38 PM EET","Female","18-29","Turkey","White","Muslim","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","It depends on the point of view in both religions. There’s not one single perspective","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 11:08:22 PM EET","Female","18-29","Colombia","Latino","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","No","I consider that in some religions, the veil is an imposition but I do not have the arguments to establish that is because of submission","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","Partially"
"2020/05/23 11:12:16 PM EET","Female","18-29","Italy","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","Per la religione islamica portare il velo non è obbligatorio ma una scelta. Tutte le donne islamiche che ho conosciuto lo portavano con estremo orgoglio. Tuttavia probabilmente in alcuni Paesi questa scelta è più forzata (es Arabia Saudita). Penso che in questo caso questo ""obbligo"" sia dovuto più dalla società piuttosto che dalla religione in sé. Per quanto riguarda le suore, anche loro scelgono di portarlo nel momento in cui prendono i voti, ma credo che sia un segno di devozione piuttosto che di sottomissione. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 11:14:11 PM EET","Female","18-29","Turkey","White","Muslim","No","Yes","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/23 11:28:29 PM EET","Male","18-29","Ukraine","White","Not religious","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","No",""
"2020/05/23 11:29:49 PM EET","Male","18-29","Jordan","Arab","Muslim","Yes","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","No","No","it's only a relguis thing","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","I might have heard of them but I don't really know what they are",""
"2020/05/23 11:37:22 PM EET","Female","18-29","Georgia","White","Christian orthodox","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","I think that is tradition. It is possible that I do not have enough information regarding the subject.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/23 11:44:46 PM EET","Female","18-29","Cyprus","White","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","In some countries and religions women are forced to wear certain type of clothing whether they are willing or not. Their opinion is not being valued in this concept. In my opinion, whether or not a woman is submitting or doing willingly depends on the person. Some women are willing to apply the rules due to their values and religion. On the other hand, some women are forced to submit. This topic is open to discussion; although i believe that whether or not a woman is willing to wear a veil or not, it is a symbol of submission due to having no choice in majority cases. Hence, I believe women are forced to submit in general.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 12:12:16 AM EET","Male","18-29","United States","Asian","Roman Catholic","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","I don't know","Never was taught that veils are a symbol of submission. Either in school or at home","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/24 12:44:18 AM EET","Male","50-69","United States","White","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","I don't know","Yes","I do not know much re the Muslim faith. The Catholic nuns, as far as I know, are not forced to wear certain clothes, it is part of their belief system. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","No",""
"2020/05/24 12:45:05 AM EET","Male","18-29","Georgia","White","Not religious","Yes","I don't know","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","Within Islam the Hijab is a necessity for all women to hide themselves and ""not tempt"" men. My belief is that this was a concept created by men to keep control of women. In Christianity nuns wear veils for a similar reason, however for nuns this has a much more spiritual meaning, it is their religious attire which conveys to others that this person has devoted themself to God, it is the same case for men. Thus in Islam the Hijab is a tool for control and oppression of women, whereas in Christianity the veil is a sort of signal to others that the nun or the priest have devoted their body and soul in service of God","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are",""
"2020/05/24 12:54:18 AM EET","Male","18-29","Morocco","Arab","Prefer not to say","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","a big percentage of women who wear that do it with their own choice","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","I don't know","No",""
"2020/05/24 1:00:39 AM EET","Female","18-29","United States","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","Both are methods used to CONTROL women. If men AND women both wore veils and could both become nuns THEN that would be fair. But men want women to submit to them so they put those stipulations in place for control. Powerful women threaten insecure men. ","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","No, I don't see how this could happen","I might have heard of them but I don't really know what they are","Yes, completely"
"2020/05/24 1:02:43 AM EET","Female","18-29","Turkey","White","Not religious","Yes","I don't know","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","It depends","It depends","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 1:04:26 AM EET","Male","70-89","United States","White","Christian (Protestant)","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","We all submit to things that our culture asks us to do ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/24 1:24:21 AM EET","Male","30-49","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","I think it is submission to their religion but it may be by choice or may be forced upon them. Some women also wear the covering as an act of protest against norms that they dint believe in. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/24 1:29:06 AM EET","Female","50-69","United States","White","Roman Catholic","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","They are cultural and traditional. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 2:16:16 AM EET","Female","50-69","United States","White","Roman Catholic","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","They are cultural and traditional. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 2:35:16 AM EET","Male","30-49","United States","White","Christian (Protestant)","No","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","Yes","In the first, some Muslim women are forced to wear it and others choose. So it really depends on the definition/connotation of submission. Is it forced or willingly chosen because of their faith. In the second, I feel most of not all are willingly worn as in my experience there is more freedom in a catholic faith than Muslim. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No",""
"2020/05/24 4:01:35 AM EET","Female","18-29","United States","White","Not religious","I don't know","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","No","No","N/A","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","Yes, I know exactly what they are","Partially"
"2020/05/24 4:18:38 AM EET","Female","50-69","United States","White","Roman Catholic","No","No","I believe that the concept of gender inequality is universal regardless the country, the ethnicity, the history, the culture, and traditions","Yes","No","Muslim women don’t choose to wear it. Nuns have a choice","I believe that using nudity is a bad way to express one's independence as it only increases the sexualization and objectification of the female body","Yes","No","Yes, completely"
"2020/05/24 6:19:57 AM EET","Female","18-29","Russia","White","Not religious","Yes","No","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","No","Because all Muslim women should wear this veil, but not all of the Catholic women. If u want - u wear, but u don't have to, freedom of the choice","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","Yes, I know exactly what they are","Partially"
"2020/05/24 7:28:28 AM EET","Female","50-69","United States","White","Christian (Protestant)","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","To some, it is simply a sacred sign of their religion.  I don’t think they attach any other meaning to wearing it.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are","Partially"
"2020/05/24 9:18:32 AM EET","Female","18-29","Ecuador","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","It depends","Some of theme wear them because they want and because it represents something to them. It’s hard to judge from the outside if I don’t know how the person feels about it. And in some Muslim countries they do have the choice. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","I don't know","No","Partially"
"2020/05/24 9:50:19 AM EET","Female","18-29","Spain","White","Not religious","No","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","Muslim man and catholic friar don't wear any veil. ","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No","Partially"
"2020/05/24 10:22:45 AM EET","Male","18-29","Mexico","Latino","Not religious","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","Yes","Yes","Both are arbitrary measures of devotion to religion.","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","No",""
"2020/05/24 10:26:55 AM EET","Male","18-29","India","Asian","Hindu","Yes","Yes","I believe that the conception of gender inequality changes and shapes differently according to the country, the ethnicity, the history, the culture and traditions","It depends","I don't know","","I think that it's their right to use their body to protest, but I don't think that they can judge the grade of feminism of a woman based on how much she covers (or uncovers) herself","Yes","I might have heard of them but I don't really know what they are",""
