"Informazioni cronologiche","Genere:","Età","Paese di provenienza","In che gruppo etnico ti identifichi?","Qual è la tua religione?","Sei mai stato vittima di episodi di razzismo?","Ti consideri femminista?","Cosa pensi dei concetti di ""genere"" e ""disuguaglianza di genere""?","Pensi che il velo indossato dalla maggior parte delle donne musulmane sia un simbolo di sottomissione?","Pensi che il velo indossato dalle suore cattoliche sia un simbolo di sottomissione?","Puoi motivare la tua risposta alle due domande precedenti?","Alcuni gruppi femministi moderni usano la nudità per protestare contro il patriarcato e per dimostrare l'indipendenza femminile. Qual è la tua opinione a riguardo?","Pensi che il femminismo sia mai stato usato o  possa essere usato dalle potenze occidentali per giustificare i propri interessi nazionalistici, imperialistici ed economici?","Conosci i termini ""Femminismo bianco"" e ""Femminismo transnazionale""?","Ti senti rappresentata dal femminismo di oggi?"
"2020/05/23 9:47:45 PM EET","Femmina","18-29","Albania","Bianco","Cattolicesimo","Sì","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","Nella maggior parte dei casi le donne scelgono per loro volontà e appartenenza religiosa di indossare il velo.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 9:51:53 PM EET","Maschio","18-29","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Le suore hanno sempre o quasi la facoltà di scegliere di abbracciare quel tipo di vita (anche se talvolta devono sottomettersi a uomini nonostante siano “libere”)","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano",""
"2020/05/23 9:52:38 PM EET","Femmina","18-29","Romania","Bianco","Non sono religiosa/o","Non lo so","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","Ammetto di avere idee non chiare a riguardo, e in nessun caso si tratta di convinzioni assolute, quanto più di impressioni che cerco di indagare. Se al posto del velo delle suore, mi avessi chiesto delle monache di qualche secolo fa, ti avrei risposto di sì, in quanto spesso e volentieri la monacazione era il risultato di una costrizione familiare. Per quanto riguarda la situazione di adesso nel mondo occidentale, penso che le pressioni familiari a prendere i voti e seguire lo stile di vita delle suore (e con esso, il velo) siano molto minori, e pertanto viene spontaneo dedurre si tratti di una scelta influenzata soltanto dalle proprie convinzioni. Per quanto riguarda, invece, la comunità musulmana (in occidente, perché non mi spingo a parlare di quello che non conosco neanche lontanamente), ho l'impressione che le pressioni a mettere il velo siano ancora forti. 
Ritengo anche che non sempre si tratti di costrizione vera e propria, quanto piuttosto della pressione a incontrare l'approvazione della propria famiglia e della comunità alla quale si vuole appartenere. Il dubbio che sorge allora è se si possa poi parlare di sottomissione, in quanto ciascuna comunità impone le proprie norme e regole di integrazione, e sta a noi decidere se seguirle o meno (sapendo che, nel secondo caso, molto probabilmente saremo giudicati). In via definitiva, quindi, dipende dalle motivazioni. È sottomissione se decidendo di toglierlo la donna rischierebbe la propria sicurezza all'interno della sua famiglia o comunità. Non è così, se invece la scelta deriva da una convinzione personale della necessità di portare il velo per seguire la propria vocazione religiosa. Sospendo il giudizio per quanto riguarda la sensazione di essere rifiutati dal proprio circolo nel caso si decidesse di non metterlo. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 9:53:59 PM EET","Maschio","50-69","Italy","Bianco","Cattolicesimo","No","No","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Sì","No","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Sì","No",""
"2020/05/23 10:01:47 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Dipende","Penso che la libertà di culto sia importante, ma penso anche sia importante riconoscere che le religioni professano, alla loro base, la sottomissione della donna: una scelta come quella di mettere il velo (che sia fatta da una donna islamica o cristiana), anche se definita cone “libera” da chi la compie, resta comunque espressione di una cultura che vuole mostrare le donne come sottomesse.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 10:03:55 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","Sì","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 10:07:41 PM EET","Femmina","18-29","Italy","Bianco","Preferisco non dirlo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","In entrambi i casi, se è una scelta voluta dalla donna in questione non c’ è assolutamente niente di male. Nel caso contrario, ovvero che non è una scelta presa in autonomia dal soggetto allora lí sí che è una forma di sottomissione. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 10:09:06 PM EET","Femmina","18-29","Italy","umano","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Non lo so","Una donna musulmana che scelga di indossare il velo, non credo di poterla ritenere sottomessa. Una donna musulmana che sia obbligata ad indossare il velo, credo in quel caso sia sottomessa (forzatamente). Nel secondo caso non ne so abbastanza.","Credo siano le sole padrone del proprio corpo e che possano utilizzarlo in qualunque modo ritengano giusto. Credo incontrino dei limiti solo nella legislazione (es. atti osceni, ma in quanto essere umano non in quanto donna)","Non lo so","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 10:09:18 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","È una scelta individuale e personale. L'empowerment femminile non avviene solo attraverso la libertà di mostrare il proprio corpo, ma anche l'opposto, ovvero poter vestire ""modestamente"" senza per forza essere considerat* sottomess*. ","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 10:09:37 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Trovo che entrambe le religioni, Islam e Cattolicesimo, siano nate in un’epoca in cui la società e la cultura erano maschiliste è prettamente patriarcali. Prendendo il concetto che ha portato entrambe le religioni a obbligare le donne al velo (maschilista) e trasportandolo ai giorni nostri, credo che dipenda molto dalla fede della singola donna, dalla sua percezione del concetto di oppressione e patriarcato, dalla sua conoscenza in merito, dalla sua abilità o meno di poter prendere una scelta indipendente senza condizioni e senza pressioni esterne.  Quindi “dipende” .","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono","Parzialmente"
"2020/05/23 10:10:06 PM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Sì","Sì","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 10:11:09 PM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","Non è importante il cosa si indossa, ma il perché (ovvero se è o meno una libera scelta)","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono",""
"2020/05/23 10:11:36 PM EET","Femmina","18-29","Italy","Nero","Islam","Sì","Sì","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Dipende","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Sì, so perfettamente cosa sono","Parzialmente sì, ma sento che alcuni dei problemi che devo affrontare a causa della mia etnia non sono presi in considerazione"
"2020/05/23 10:11:47 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","Sì","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","Penso sia libera scelta","Credo che abbiano il diritto di utilizzare il  proprio corpo per protestare e che abbiano ragione a sostenere che una donna che si copre per motivi religiosi non possa essere femminista","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Parzialmente"
"2020/05/23 10:12:04 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","Sì","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Sì, completamente"
"2020/05/23 10:13:56 PM EET","Maschio","18-29","Italy","Bianco","Non sono religiosa/o","Non lo so","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","","Il nudismo in un luogo pubblico non è il mezzo giusto per quel fine","No, non vedo come possa essere possibile","No",""
"2020/05/23 10:14:13 PM EET","Femmina","18-29","Italy","Bianco","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","No","No","","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Sì","Potrei averne sentito parlare, ma non so esattamente cosa siano","Assolutamente no"
"2020/05/23 10:14:17 PM EET","Femmina","50-69","Italy","Caucasico ","Cattolicesimo","Sì","No","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Sì","Sì","Perchè sono sottomissioni a regole religiose","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","No","Assolutamente no"
"2020/05/23 10:16:50 PM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Non lo so","Alcune donne di fede musulmana decidono di portare il velo secondo il loro volere, esplicitano il loro credo attraverso l’utilizzo del velo. Penso invece che altre donne non abbiamo scelta in merito e siano in in qualche modo “costrette” dalle famiglie ad indossarlo (magari nei paesi più arretrati). Pur essendo cattolica, non ho idea del perché le suore indossino il velo.","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","No","Sì, completamente"
"2020/05/23 10:19:15 PM EET","Femmina","50-69","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Non lo so","No","Non sono informata sul significato del velo nel.mondo islamico..
Per quanto riguarda le suore il velo non significa sottomissione, ..","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","Non lo so","No","Parzialmente"
"2020/05/23 10:20:37 PM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","Dipende","No","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","No","Parzialmente"
"2020/05/23 10:26:05 PM EET","Maschio","18-29","Italy","Preferisco non dirlo","Non sono religiosa/o","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Sì","Sì","imposizione del vestiario ","Credo che abbiano il diritto di utilizzare il  proprio corpo per protestare e che abbiano ragione a sostenere che una donna che si copre per motivi religiosi non possa essere femminista","Sì","No",""
"2020/05/23 10:26:09 PM EET","Maschio","18-29","Italy","Bianco","Preferisco non dirlo","No","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","Dipende","Costringere qualcuno a non mettere il velo equivale al costringere a metterlo, la sottomissione deriva dal reprimere la mia volontà, non dal velo in sè","La nudità può essere uno strumento per sfatare certe concezioni del corpo femminile, ma uno  Strumento che da solo non può cambiare ","Non lo so","No",""
"2020/05/23 10:27:49 PM EET","Femmina","18-29","Italy","Bianco","Cattolicesimo","Sì","Sì","Penso che i concetti di genere e di disuguaglianza di genere siano universali e non dipendano dal Paese, dall'etnia, dalla storia, dalla cultura e dalle tradizioni della persona","Dipende","No","La vocazione delle suore è volontaria, così come l’indossare il velo da parte delle femmine musulmane, talvolta invece gli è imposto (conosco un caso particolare)","Credo che abbiano il diritto di utilizzare il proprio corpo come mezzo di protesta ma che non possano giudicare il grado di femminismo di una donna basandosi su quanto questa si copre (o scopre)","No, non vedo come possa essere possibile","Potrei averne sentito parlare, ma non so esattamente cosa siano","Sì, completamente"
"2020/05/23 10:30:00 PM EET","Femmina","18-29","Italy","Nero","Islam","No","No","Penso che la concezione del genere e della disuguaglianza di genere cambi e assuma una forma diversa a seconda del Paese, dell'etnia, della storia, della cultura, delle tradizioni della persona","No","No","","Credo che usare la nudità sia un pessimo modo di esprimere la propria indipendenza in quanto non fa altro che incrementare la sessualizzazione e l' oggettificazione  del  corpo femminile","Non lo so","No","Parzialmente sì, ma sento che alcuni dei problemi che devo affrontare a causa della mia etnia non sono presi in considerazione"
